time,motion,distance,co2,label,timestamp
11:30:00,0,-1.0,639,0,1495121400.0
11:30:01,0,-1.0,639,0,1495121401.0
11:30:02,0,-1.0,639,0,1495121402.0
11:30:03,0,-1.0,639,0,1495121403.0
11:30:04,0,-1.0,639,0,1495121404.0
11:30:05,0,-1.0,639,0,1495121405.0
11:30:06,0,-1.0,639,0,1495121406.0
11:30:07,0,-1.0,639,0,1495121407.0
11:30:08,0,-1.0,638,0,1495121408.0
11:30:09,0,-1.0,638,0,1495121409.0
11:30:10,0,-1.0,638,0,1495121410.0
11:30:11,0,-1.0,638,0,1495121411.0
11:30:12,0,-1.0,637,0,1495121412.0
11:30:13,0,-1.0,637,0,1495121413.0
11:30:14,0,-1.0,637,0,1495121414.0
11:30:15,0,-1.0,637,0,1495121415.0
11:30:16,0,-1.0,638,0,1495121416.0
11:30:17,0,-1.0,638,0,1495121417.0
11:30:18,0,-1.0,638,0,1495121418.0
11:30:19,0,-1.0,637,0,1495121419.0
11:30:20,0,-1.0,637,0,1495121420.0
11:30:21,0,-1.0,637,0,1495121421.0
11:30:22,0,-1.0,637,0,1495121422.0
11:30:23,0,-1.0,637,0,1495121423.0
11:30:24,0,-1.0,637,0,1495121424.0
11:30:25,0,-1.0,637,0,1495121425.0
11:30:26,0,-1.0,637,0,1495121426.0
11:30:27,0,-1.0,639,0,1495121427.0
11:30:28,0,-1.0,639,0,1495121428.0
11:30:29,0,-1.0,639,0,1495121429.0
11:30:30,0,-1.0,642,0,1495121430.0
11:30:31,0,-1.0,642,0,1495121431.0
11:30:32,0,-1.0,642,0,1495121432.0
11:30:33,0,-1.0,642,0,1495121433.0
11:30:34,0,-1.0,644,0,1495121434.0
11:30:35,0,-1.0,644,0,1495121435.0
11:30:36,0,-1.0,644,0,1495121436.0
11:30:37,0,-1.0,644,0,1495121437.0
11:30:38,0,-1.0,648,0,1495121438.0
11:30:39,0,-1.0,648,0,1495121439.0
11:30:40,0,-1.0,648,0,1495121440.0
11:30:41,0,-1.0,655,0,1495121441.0
11:30:42,0,-1.0,655,0,1495121442.0
11:30:43,0,-1.0,655,0,1495121443.0
11:30:44,0,-1.0,655,0,1495121444.0
11:30:45,0,-1.0,659,0,1495121445.0
11:30:46,0,-1.0,659,0,1495121446.0
11:30:47,0,-1.0,659,0,1495121447.0
11:30:48,0,-1.0,659,0,1495121448.0
11:30:49,0,-1.0,662,0,1495121449.0
11:30:50,0,-1.0,662,0,1495121450.0
11:30:51,0,-1.0,662,0,1495121451.0
11:30:52,0,-1.0,662,0,1495121452.0
11:30:53,0,-1.0,665,0,1495121453.0
11:30:54,0,-1.0,665,0,1495121454.0
11:30:55,0,-1.0,665,0,1495121455.0
11:30:56,0,-1.0,668,0,1495121456.0
11:30:57,0,-1.0,668,0,1495121457.0
11:30:58,0,-1.0,668,0,1495121458.0
11:30:59,0,-1.0,668,0,1495121459.0
11:31:00,0,-1.0,670,0,1495121460.0
11:31:01,0,-1.0,670,0,1495121461.0
11:31:02,0,-1.0,670,0,1495121462.0
11:31:03,0,-1.0,670,0,1495121463.0
11:31:04,0,-1.0,672,0,1495121464.0
11:31:05,0,-1.0,672,0,1495121465.0
11:31:06,0,-1.0,672,0,1495121466.0
11:31:07,0,-1.0,674,0,1495121467.0
11:31:08,0,-1.0,674,0,1495121468.0
11:31:09,0,-1.0,674,0,1495121469.0
11:31:10,0,-1.0,674,0,1495121470.0
